Student ID , Full Name,SEX , Programme ,Faculty/School,Age ,Region ,Year Level,Fees Paid GHS,Admission Status ,Phone Number,Email 
UCC02020,Student_0001,Female,Nursing,School of Economics,26.0,Upper West,100,3786.21,active,0240736907,student0001@ucc.edu.gh
UCC02021,Student_0002,M,BCom Accounting,School of Business,28.0,Upper West,100,5031.81,withdrawn,0247928444,student0002@ucc.edu.gh
UCC02022,Student_0003,M,BEd Mathematics,School of Medical Sciences,19.0,Greater Accra,100,4350.64,active,0240910188,student0003@ucc.edu.gh
UCC02023,Student_0004,F,BEd Mathematics,School of Economics,22.0,Central,100,5193.33,withdrawn,0244315879,student0004@ucc.edu.gh
UCC02024,Student_0005,Male ,BA Economics,School of Medical Sciences,22.0,Upper West,100,4870.48,,0243589938,student0005@ucc.edu.gh
UCC02025,Student_0006,Male ,BSc Nursing,School of Business,18.0,Bono,400,6034.83,withdrawn,0247284074,student0006@ucc.edu.gh
UCC02026,Student_0007,male,BSc Nursing,School of Business,21.0,Eastern,200,3140.06,,0244185926,student0007@ucc.edu.gh
UCC02027,Student_0008,male,BSc Agriculture,School of Medical Sciences,20.0,North East,100,1995.24,Graduated,0241614998,student0008@ucc.edu.gh
UCC02028,Student_0009,male,BA Econ,School of Economics,24.0,Savannah,300,4894.28,Graduated,0248523383,student0009@ucc.edu.gh
UCC02029,Student_0010,M,BA Geography,Faculty of Science and Technology,23.0,Oti,200,4373.14,withdrawn,0243457048,student0010@ucc.edu.gh
UCC02030,Student_0011,F,info tech,School of Medical Sciences,23.0,Oti,200,4177.01,,0249378077,student0011@ucc.edu.gh
UCC02031,Student_0012,F,BSc. Data Science,School of Agriculture,22.0,Upper East,300,3952.01,Graduated,0244916445,student0012@ucc.edu.gh
UCC02032,Student_0013,Female,BA Geography,Faculty of Science and Technology,27.0,Ashanti,300,4756.77,Graduated,0249702689,student0013@ucc.edu.gh
UCC02033,Student_0014,female,,School of Agriculture,22.0,Savannah,300,5294.96,,0241336446,student0014@ucc.edu.gh
UCC02034,Student_0015,F,BA Economics,School of Economics,26.0,Oti,300,5459.92,Deferred,0241754015,student0015@ucc.edu.gh
UCC02035,Student_0016,,BSc Information Technology,School of Agriculture,24.0,Upper East,300,1381.71,Deferred,0245850627,student0016@ucc.edu.gh
UCC02036,Student_0017,male,BSc Data Science,Faculty of Education,23.0,Bono East,100,4675.58,,0245227512,student0017@ucc.edu.gh
UCC02037,Student_0018,Male ,BSc Agriculture,School of Medical Sciences,25.0,Bono,200,2660.68,withdrawn,0245637256,student0018@ucc.edu.gh
UCC02038,Student_0019,female,BA Geography,School of Business,22.0,Greater Accra,300,5868.42,Graduated,0247345082,student0019@ucc.edu.gh
UCC02039,Student_0020,Female,BSc Information Technology,School of Agriculture,20.0,Oti,300,5546.38,Deferred,0241633986,student0020@ucc.edu.gh
UCC02040,Student_0021,M,BSc Nursing,School of Agriculture,22.0,North East,400,3521.07,active,0248029950,student0021@ucc.edu.gh
UCC02041,Student_0022,F,BA Econ,Faculty of Education,27.0,North East,200,4906.32,withdrawn,0244336460,student0022@ucc.edu.gh
UCC02042,Student_0023,Female,BSc Nursing,School of Economics,23.0,Volta,200,2396.14,withdrawn,0248769153,student0023@ucc.edu.gh
UCC02043,Student_0024,Male ,BSc Agriculture,School of Business,21.0,Bono East,100,5324.2,active,0242732489,student0024@ucc.edu.gh
UCC02044,Student_0025,male,BSc Agriculture,School of Medical Sciences,20.0,Western,200,5341.61,withdrawn,0242839317,student0025@ucc.edu.gh
UCC02045,Student_0026,M,BA Economics,School of Economics,18.0,Western,300,5709.7,Graduated,0243220744,student0026@ucc.edu.gh
UCC02046,Student_0027,M,BSc. Data Science,School of Medical Sciences,20.0,Oti,400,5545.83,Deferred,0243448587,student0027@ucc.edu.gh
UCC02047,Student_0028,F,BA Economics,Faculty of Education,23.0,Ashanti,200,4153.88,Active,0242151220,student0028@ucc.edu.gh
UCC02048,Student_0029,,BA Econ,School of Medical Sciences,22.0,Eastern,400,3565.21,Deferred,0244786478,student0029@ucc.edu.gh
UCC02049,Student_0030,Male ,BSc Agriculture,School of Agriculture,23.0,Western,300,3964.42,,0248812142,student0030@ucc.edu.gh
UCC02050,Student_0031,male,BA Geography,School of Business,20.0,Bono,400,4649.45,active,0248144409,student0031@ucc.edu.gh
UCC02051,Student_0032,male,BSc. Data Science,School of Medical Sciences,26.0,North East,200,3283.36,Active,0246118085,student0032@ucc.edu.gh
UCC02052,Student_0033,male,info tech,Faculty of Education,25.0,Bono,200,4384.88,,0244445681,student0033@ucc.edu.gh
UCC02053,Student_0034,male,BSc. Data Science,Faculty of Education,21.0,Ashanti,100,4385.13,,0243456228,student0034@ucc.edu.gh
UCC02054,Student_0035,F,info tech,School of Business,18.0,Upper West,300,6141.23,Graduated,0248133413,student0035@ucc.edu.gh
UCC02055,Student_0036,Female,BSc Data Science,Faculty of Science and Technology,23.0,Upper West,100,5364.81,Graduated,0242530272,
UCC02056,Student_0037,Female,BSc Data Science,School of Agriculture,16.0,Northern,100,3936.72,Deferred,0246146007,student0037@ucc.edu.gh
UCC02057,Student_0038,Female,BA Economics,Faculty of Science and Technology,18.0,Northern,300,5150.07,withdrawn,0241324157,student0038@ucc.edu.gh
UCC02058,Student_0039,F,BA Geography,School of Medical Sciences,21.0,Northern,200,5304.99,,0244645890,student0039@ucc.edu.gh
UCC02059,Student_0040,Male ,BA Economics,Faculty of Education,20.0,Bono,400,2717.8,withdrawn,0249829237,student0040@ucc.edu.gh
UCC02060,Student_0041,,BA Economics,School of Economics,27.0,Ashanti,100,7290.89,active,0240362649,student0041@ucc.edu.gh
UCC02061,Student_0042,female,BEd Mathematics,School of Economics,21.0,Volta,200,4581.4,withdrawn,0248723619,student0042@ucc.edu.gh
UCC02062,Student_0043,F,BSc Agriculture,Faculty of Education,24.0,Western North,200,3719.03,Graduated,0245885559,student0043@ucc.edu.gh
UCC02063,Student_0044,male,BSc Data Science,School of Economics,16.0,Volta,100,4824.22,Active,0245235900,student0044@ucc.edu.gh
UCC02064,Student_0045,Female,,School of Agriculture,17.0,Bono East,100,3697.53,,0246049752,student0045@ucc.edu.gh
UCC02065,Student_0046,Female,BEd Mathematics,School of Business,20.0,Ashanti,100,2688.68,Deferred,0241138804,student0046@ucc.edu.gh
UCC02066,Student_0047,Male ,BSc Agriculture,School of Medical Sciences,23.0,Western North,200,5475.87,Deferred,0248365396,student0047@ucc.edu.gh
UCC02067,Student_0048,male,BA Geography,Faculty of Education,18.0,North East,300,4850.85,Deferred,0246168555,student0048@ucc.edu.gh
UCC02068,Student_0049,F,BEd Mathematics,School of Medical Sciences,24.0,Oti,300,5113.44,withdrawn,0241558184,student0049@ucc.edu.gh
UCC02069,Student_0050,Female,,School of Business,,Ahafo,100,2770.25,Active,0248991414,student0050@ucc.edu.gh
UCC02070,Student_0051,Male ,BSc Agriculture,School of Economics,20.0,Ashanti,400,5346.87,withdrawn,0246664656,student0051@ucc.edu.gh
